body,post_url,date,tags
La intimidad de los candidatos presidenciales,http://hd.clarin.com/post/126150854864/la-intimidad-de-los-candidatos-presidenciales,2015-08-08 04:46:07 GMT,['Elecciones 2015 política']
Una recorrida por la Casa Rosada,http://hd.clarin.com/post/34698475915/una-recorrida-por-la-casa-rosada,2012-10-31 12:49:00 GMT,"['Casa Rosada', 'El Día en Fotos']"
